;Food ;Mines;Oil  ;Clths;Durbl;Chems;Cnsum;Cnstr;Steel;FabPr;Machn;Cars ;Trans;Utils;Rtail;Finan;Other
197405;-0,041416698;-0,07834245;-0,07562588;NaN;0,001198428;0,00096405;0,00931805;-0,07319991;-0,100423245;NaN;-0,044510525;0,043840297;-0,045779826;-0,042279944;0,040086091;-0,122730435;-0,029455319
197406;-0,003860462;0,049230437;-0,004913343;NaN;-0,020406222;-0,000392769;-0,009724306;-0,095673965;0,027564997;NaN;-0,031838879;-0,039190403;-0,040408989;-0,078453328;-0,031090433;-0,065807349;-0,009612305
197407;-0,147386108;0,038773433;-0,014080202;NaN;-0,150322266;-0,056204344;-0,139984029;-0,054025024;0,041805841;NaN;-0,083540291;-0,135493951;-0,09072503;-0,005958615;-0,169437544;-0,080946134;-0,087876222
197408;-0,145444221;-0,083082947;-0,087503073;NaN;-0,118314826;-0,132319847;-0,084489685;-0,137590042;-0,101217734;NaN;-0,067615486;-0,039727213;-0,122738818;-0,107535201;-0,142252373;-0,125541715;-0,05568317
197409;-0,161308064;-0,104472479;-0,086694439;NaN;-0,200100299;-0,113735829;-0,160269772;-0,146602568;-0,089701317;NaN;-0,179230723;-0,110645185;-0,0705983;-0,020286302;-0,157470847;-0,072632831;-0,110826021
197410;0,202294616;0,206279204;0,208398247;NaN;0,141666794;0,175246188;0,288437868;0,220581482;0,082975649;NaN;0,191287677;-0,072545943;0,178585891;0,142275354;0,092003112;0,276764147;0,122192305
197411;-0,047570338;-0,028232708;-0,048150431;NaN;-0,084005334;-0,115129579;-0,006545591;-0,052482632;-0,013486586;NaN;-0,054177287;-0,07234873;-0,059789986;-0,012815086;-0,072183159;-0,012179263;-0,055619462
197412;-0,003096654;-0,05148998;0,012826749;NaN;-0,081298181;-0,042521156;-0,028805952;-0,046847293;-0,03245808;NaN;-0,057042273;0,009282548;-0,033424228;-0,004553116;-0,031821738;-0,024203884;-0,024034817
197501;0,179881872;0,099706349;0,030867256;NaN;0,186380114;0,080766076;0,00635626;0,158333384;0,148868743;NaN;0,10178652;0,218175004;0,08151351;0,131634818;0,236407327;0,124971034;0,11621814
197502;0,04173202;0,047140515;0,016511582;NaN;0,146717022;0,087007652;0,109994375;0,063706415;0,008046633;NaN;0,139088143;-0,004875363;0,039168684;0,002542397;0,02874465;-0,019040492;0,064234258
197503;0,051140732;0,116085231;-0,022783656;NaN;0,0345045;0,053686315;0,016699909;0,058023204;0,127425732;NaN;-0,003509286;0,058103921;0,025313366;-0,020148997;0,089450721;0,018813751;-0,00874353
197504;-0,003528347;0,124686887;0,069101839;NaN;0,078027791;0,171075132;0,009781241;0,057919757;0,101982459;NaN;0,042911957;0,029950833;0,042305058;-0,025906816;0,011493395;0,01980954;0,032613671
197505;0,066767459;0,063560101;0,119104662;NaN;-0,009276672;-0,010728749;0,057780956;0,051812113;-0,065169025;NaN;0,045756773;0,043000262;0,021267016;0,083205049;0,031038216;0,057408218;0,044358305
197506;0,035780749;0,046301179;0,06055192;NaN;0,027889742;0,036683929;0,007598937;0,021796217;0,052649934;NaN;0,003272164;0,095907104;0,055771086;0,10860739;0,075881303;0,069582808;0,029801181
197507;-0,075251275;-0,032740437;-0,045915682;NaN;-0,088639818;-0,049162119;-0,114667425;-0,094903627;-0,081982658;-0,053430953;-0,093910741;0,026307666;-0,081583612;-0,055831321;-0,11498941;-0,096323058;-0,058597268
197508;-0,023201901;-0,08966802;-0,006682568;NaN;-0,035245708;0,021687969;-0,045782149;0,020049378;0,059805875;-0,001392772;-0,024850726;-0,034338018;-0,019105221;-0,014597737;0,019739758;-0,071396453;-0,027054917
197509;-0,043178609;-0,025400728;-0,010142352;NaN;-0,045582631;-0,099684434;-0,053036097;-0,058961631;-0,062482145;-0,017911758;-0,018627178;-0,010562877;-0,035030472;-0,014808215;-0,049633298;-0,094732565;-0,04444609
197510;0,133193475;-0,055462027;-0,021128478;NaN;0,084872368;0,072718536;0,094536354;0,059337714;-0,037919194;-0,016731516;0,076150607;0,09655688;0,047683971;0,062013832;0,100184243;0,052584887;0,070524692
