Food ;Mines;Oil  ;Clths;Durbl;Chems;Cnsum;Cnstr;Steel;FabPr;Machn;Cars ;Trans;Utils;Rtail;Finan;Other
0,32639589;0,488533865;0,811753609;0,451570089;0,485897417;0,548218875;0,290002459;0,466509162;0,834415134;0,704024228;0,467160821;0,86293339;0,800908938;1,182820885;0,454903476;0,839018758;0,600995799
0,327842664;0,470477636;0,775612339;0,452458803;0,482502987;0,541509211;0,294441267;0,455501957;0,776120445;NaN;0,452046731;0,836271811;0,805954457;1,179712906;0,448492178;0,846878755;0,60831352
0,328523977;0,468012845;0,786050062;0,459476469;0,472759765;0,57124475;0,296866923;0,451843711;0,775655702;NaN;0,458805462;0,834791888;0,821695151;1,142002633;0,462970785;0,813049982;0,601525269
0,39568327;0,242665509;0,860651683;0,430168134;0,484922959;0,559424928;0,307478549;0,496344611;0,778212895;NaN;0,46964135;0,925634326;0,954815819;1,219325983;0,502011288;0,757231859;0,636005791
0,39007303;0,246438158;0,828479938;0,450513541;0,485819411;0,587576778;0,302009738;0,553186572;0,768426866;NaN;0,4904307;0,934448968;0,972214727;1,232138311;0,499700543;0,757699257;0,643433853
0,386267662;0,259944047;0,849942473;0,434713711;0,513696248;0,625019559;0,304673754;0,602263038;0,807437189;NaN;0,535054946;1,021822566;1,014217482;1,24260797;0,523064657;0,761483502;0,663303173
0,363833645;0,211065558;0,871477503;NaN;0,484658938;0,612100716;0,290514525;0,604538476;0,807192482;NaN;0,522101489;0,965696879;0,964212435;1,215047342;0,47314465;0,724937532;0,627842068
0,319258822;NaN;0,854915217;0,406972663;0,469735476;0,604315061;0,283227506;0,598781946;0,762978081;NaN;0,512704672;0,919794335;0,949077318;1,186028244;0,475601112;0,725989139;0,616730727
0,339042457;NaN;0,880158109;NaN;0,503391484;0,621000595;0,286567649;0,593083983;0,788589469;NaN;0,52331112;0,916401541;0,964698042;1,192352806;0,468986263;0,760956622;0,632507316
0,335527285;NaN;0,883613937;NaN;0,487416061;0,601831369;0,280845344;0,580832566;0,764678457;NaN;0,511348362;0,972937324;0,970480353;1,162773665;0,465836278;0,751144308;0,619452422
0,320114679;NaN;0,832969652;NaN;0,45194424;0,535450845;0,264189888;0,589529423;0,681936139;NaN;0,476132669;0,895888233;0,944660772;1,120938061;0,439386469;0,706884796;0,579221092
0,337041701;NaN;0,855555294;NaN;0,453739932;0,563599499;0,269751427;0,537033799;0,71628915;NaN;0,504852076;0,936766555;0,950886495;1,173725009;0,459657139;0,718626591;0,594139508
0,321028671;NaN;0,829600055;0,444401722;0,448577691;0,54057856;0,255661514;0,532541332;0,724972478;NaN;0,528716276;0,952515171;0,944547917;1,155832232;0,446328889;0,676232555;0,575246292
0,29370184;NaN;0,83964153;0,404214775;0,422711216;0,519117802;0,243489963;0,498938246;0,694418229;NaN;0,502085409;0,956016532;0,842368491;1,117274793;0,422365376;0,651071234;0,532111373
0,276503512;NaN;0,808630929;NaN;0,425255278;0,513954043;0,236458067;0,488479409;0,701783641;NaN;0,480138399;0,951596283;0,872979389;1,078105226;0,399576589;0,617437218;0,509356544
0,297014366;NaN;0,808519749;0,453273092;0,443548054;0,602485963;0,26457659;0,60538889;0,868655578;NaN;0,542793391;1,069135312;0,857994464;1,094394379;0,416941548;0,716881402;0,517936113
0,258812473;NaN;0,773029856;NaN;0,413434397;0,563725954;0,230598325;0,53793994;0,809604005;NaN;0,507203571;1,039136854;0,793173932;1,035277084;0,374225737;0,64937547;0,478048877
0,273228316;NaN;0,757819227;NaN;0,415449998;0,525474166;0,229304446;0,516907159;0,728420058;NaN;0,498923657;0,967229221;0,73901189;1,056591404;0,363128972;0,647695808;0,476193022
0,27701318;NaN;0,74513213;0,364729552;0,438648848;0,546357362;0,23263439;0,531789646;0,762995189;NaN;0,522989551;1,03799006;0,759566124;1,043560918;0,380863675;0,621975556;0,459514003
0,280847475;NaN;0,737730581;0,385279974;0,464269318;0,579850983;0,216523889;0,587088999;0,828273977;NaN;0,543514379;1,102005982;0,806993635;1,030436578;0,39279731;0,641128675;0,471467556
0,270177354;NaN;0,713444372;0,382196812;0,465420335;0,568322493;0,210368936;0,560999607;0,796601186;NaN;0,530577299;1,146363226;0,815777694;1,000902387;0,390744008;0,63790086;0,46371902
0,261792347;NaN;0,681395347;NaN;0,581040267;0,524833152;0,204274075;0,564525785;0,790050902;NaN;0,529941491;1,169286801;0,793039612;0,964250544;0,390972073;0,653800543;0,446563646
0,28949784;NaN;0,714647224;NaN;0,619571645;0,572112517;0,220508054;0,588920463;0,891657775;NaN;0,534864681;1,217765799;0,836373299;1,017946988;0,411156661;0,717913158;0,501473958
0,28394207;NaN;0,698783255;NaN;0,637853021;0,561062444;0,226723546;0,569635108;0,848093366;NaN;0,517664502;1,150582193;0,807426814;1,026785673;0,402558062;0,70808181;0,499211607
0,279426043;NaN;0,705020822;NaN;0,609548386;0,565935593;0,217520016;0,543274086;0,810815502;NaN;0,499159276;1,136618194;0,775097818;1,038403888;0,384887049;0,726637694;0,48247736
0,275862828;NaN;0,729441533;NaN;0,65039059;0,592398183;0,213025479;0,541203907;0,863098979;NaN;0,501891793;1,188482479;0,789543191;1,099164162;0,39677899;0,751604164;0,497555501
