Food ;Mines;Oil  ;Clths;Durbl;Chems;Cnsum;Cnstr;Steel;FabPr;Machn;Cars ;Trans;Utils;Rtail;Finan;Other
-0,036656333;-0,315017766;-0,103885642;-0,040623804;-0,193364006;-0,171121858;-0,00351718;-0,166947342;-0,235909633;0,001778786;-0,014054685;-0,124092211;0,020550909;0,018892666;-0,150346911;-0,065626416;-0,042830482
-0,02784564;-0,309264976;-0,081845435;0,01902566;-0,184842173;-0,202977109;-0,025886371;-0,169063329;-0,275952797;-0,08067438;-0,0492426;-0,075941559;0,05766619;0,049613338;-0,156499971;-0,053246834;-0,029129106
0,007852606;-0,308668598;-0,041840312;0,087991373;-0,119783631;-0,166471557;0,032507644;-0,115659356;-0,243352343;-0,043103193;-0,07744618;0,036286764;0,105430138;0,072473728;-0,104022933;0,000273347;0,011770865
0,083874908;-0,204502954;0,005478117;0,137584683;-0,012960613;-0,059998948;0,17298066;-0,051896975;-0,176233578;0,017046352;0,091664521;0,097395689;0,17376675;0,047925333;0,047925499;0,089911496;0,075462409
0,128051536;-0,15963914;0,013406323;0,25880859;0,080605265;-0,044500456;0,260555572;0,018048056;-0,109606782;0,06991296;0,129418928;0,072303804;0,26002491;0,039996631;0,153821073;0,103095903;0,088063644
0,080678282;-0,098769117;-0,07642275;0,126055023;-0,006380445;-0,067449846;0,196809553;-0,041133434;-0,158574289;0,036055178;0,058915549;-0,003900383;0,228893666;-0,003364398;-0,007985043;0,01219514;0,031917362
0,077313188;-0,031396841;-0,030792389;0,187400773;0,122211593;0,010429186;0,306629961;0,120749904;0,007121424;0,179815035;0,175581441;0,068139589;0,461870462;0,013250618;0,096855285;0,074903951;0,10921289
0,102273841;-0,001700941;0,096562636;0,210210191;0,124531085;0,079738999;0,251650625;0,251734679;0,033394314;0,249874303;0,224252058;0,103757308;0,584147377;0,049478367;0,04087845;0,168369051;0,194053006
0,085342707;0,106137758;0,149360892;0,136568578;0,090979965;0,088038779;0,230304191;0,235916303;0,136291903;0,16889494;0,191552117;0,069521623;0,546819453;0,025369243;0,019098802;0,152601051;0,194440142
0,048356418;0,05399457;0,080589293;0,092222655;0,093538733;0,034771051;0,145413395;0,092631908;0,018635623;0,129465069;0,127839813;0,015403483;0,36893748;-0,011513003;-0,069406367;0,09749541;0,101099032
0,019905348;0,027611494;0,101956463;0,051298186;0,138019574;0,015666624;0,13122477;0,021936915;0,034984795;0,143792566;0,119865858;0,006598561;0,430220512;-0,024138734;-0,107911042;0,05838269;0,11892211
0,064702175;0,054003215;0,120288264;0,044695404;0,155091589;0,006418843;0,173171876;0,056563488;-0,026866018;0,189042194;0,168075079;0,011959132;0,463368645;-0,032853951;-0,095565137;0,074627603;0,086459219
0,144906834;0,235433076;0,239787089;0,300181455;0,299097454;0,14609576;0,217465868;0,22405879;0,172755416;0,294240303;0,266853259;0,138843818;0,5993911;0,083531145;0,03756016;0,22117356;0,224608826
0,081883755;0,290077606;0,264447577;0,248613026;0,284674336;0,199523114;0,19351141;0,235838757;0,20339614;0,231931649;0,278638552;0,077011593;0,324751134;0,068167036;0,004884297;0,182893175;0,200696249
0,077831577;0,448726835;0,342868219;NaN;0,323835565;0,257087803;0,210554106;0,259346351;0,239439731;0,285394683;0,391989004;0,078275502;0,323748793;0,06391457;0,052070363;0,210390354;0,196304348
0,002454276;0,322587834;0,313069119;0,181525196;0,12954556;0,08241842;0,106847619;0,178450055;0,093119202;0,144122787;0,224054555;0,018960171;0,161956548;0,027743665;-0,050550072;0,102609529;0,099990014
-0,045676379;0,330305831;0,288396889;0,167225737;0,040972285;0,055551154;0,019090631;0,125332334;0,038634634;0,103889159;0,184605279;0,035406068;0,05143906;0,039433586;-0,052570798;0,10610009;0,070799201
-0,014481453;0,542821472;0,452475701;0,250668507;0,087764666;0,143173891;0,044350084;0,183936751;0,114453309;0,151229927;0,191737418;0,092701189;0,076862685;0,082503382;0,004717961;0,243967479;0,10081225
-0,034935089;0,440087365;0,424319112;0,28565213;-0,008013943;0,12756464;-0,025005461;0,098624621;0,062059135;0,106595914;0,079858814;0,06857319;0,028866445;0,084237782;-0,048363888;0,253753743;0,062580276
0,019328819;0,497392906;0,452334298;0,41707012;0,025630814;0,14175166;0,059347164;0,157128215;0,203396764;0,160236995;0,099083857;0,107496417;0,080451315;0,118820629;0,004142537;0,259676905;0,073216367
0,020264698;0,563636786;0,461371598;0,442032998;0,018456795;0,185790955;0,068118223;0,209445177;0,225680553;0,194915095;0,124967883;0,11672378;0,114759994;0,10443095;0,015174971;0,281580062;0,049972273
0,020892293;0,526175223;0,601567758;0,465942471;0,049097267;0,197172965;0,137970812;0,264433104;0,185683481;0,227391329;0,145687116;0,10120152;0,19995575;0,13342387;0,04393223;0,359254123;0,06644153
0,092946251;0,672207508;0,633672435;0,602696454;0,020552873;0,281165081;0,1737867;0,424234713;0,192872581;0,2701318;0,180020526;0,086574598;0,248210085;0,214395711;0,041817223;0,392946436;0,069906572
0,104962175;0,928472587;0,61753286;NaN;0,063405445;0,378894134;0,140964439;0,412754694;0,383512792;0,340628878;0,131826319;0,099202435;0,312768183;0,247644992;0,084902842;0,373132456;0,091488805
0,13012502;0,977426276;0,818597025;NaN;0,086437094;0,361534165;0,108330305;0,474592237;0,668755525;0,327357576;0,21617273;0,154951709;0,520806313;0,233899313;0,03545806;0,361750089;0,073719941
0,144103348;1,049228698;1,044534061;NaN;0,077650446;0,379484396;0,114636042;0,552164671;0,767675512;0,446676462;0,209852003;0,134428345;0,576579545;0,248453236;0,065522924;0,384010139;0,12211038
-0,037689309;0,465714979;0,541404899;NaN;-0,027273347;0,085660811;0,037082785;0,232028573;0,08412156;0,121429114;-0,003896722;-0,029583517;0,321409676;0,053075564;-0,057377324;0,113568057;-0,005513742
0,071293332;0,494916583;0,569841043;NaN;-0,040789384;0,18256816;0,083577488;0,280255653;0,160501084;0,145193887;0,002435747;-0,073875329;0,307804771;0,17126584;-0,036285337;0,140958095;0,062470962
0,177609975;0,558438363;0,674360543;NaN;0,024094104;0,304179429;0,203579958;0,37170406;0,348548362;0,184482868;0,059113075;-0,032618447;0,376268868;0,206201197;0,100341803;0,218408629;0,129582771
0,142113841;0,691399985;0,630702315;NaN;0,034339593;0,255882209;0,175277875;0,397576589;0,311705855;0,186435477;0,060102716;-0,042818588;0,319602301;0,205045289;0,087754056;0,2305157;0,105474992
0,182622419;0,875894779;0,644827969;0,439649693;0,134266114;0,308771707;0,263650929;0,541980111;0,370640069;0,630613105;0,231790925;0,062712696;0,40698319;0,194141445;0,259749223;0,224906012;0,162807952
0,085922777;0,810186183;0,577799931;0,26132887;0,119978732;0,253686359;0,143392296;0,448617842;0,252703714;0,469081511;0,176138915;0,027919538;0,300120442;0,157420179;0,127005867;0,263749677;0,151926374
0,094880688;0,900099185;0,610620113;0,27341961;0,174492998;0,24655607;0,177518997;0,477874504;0,272440208;0,514920097;0,262208812;0,032603436;0,384823385;0,184785986;0,203236502;0,298334184;0,191914128
0,195594762;1,204242828;0,766555587;0,402685583;0,29543732;0,338741285;0,209611767;0,778425431;0,406132117;0,688884283;0,397071598;0,080861404;0,518612709;0,311381024;0,278401192;0,457495007;0,275295245
0,107724677;1,08997555;1,040712074;NaN;0,414377637;0,368290981;0,197666258;0,797925923;0,507339367;0,891544374;0,479736248;0,155200688;0,661387836;0,403549782;0,350267109;0,517391781;0,371530916
0,113418272;0,653047146;0,77462613;NaN;0,327230598;0,270734307;0,229969242;0,655496146;0,323455534;0,678614197;0,412566818;0,157459342;0,574162072;0,278540138;0,352900814;0,4517851;0,332798081
0,119543518;0,305743371;0,373334348;NaN;0,254577598;0,234800668;0,244064572;0,345454512;0,150811739;0,333704323;0,150087634;-0,033006844;0,284560496;0,174889166;0,261751952;0,318873286;0,247811812
0,258153117;0,231600839;0,228291179;NaN;0,482588741;0,333020735;0,334027718;0,421944762;0,214592038;0,301921699;0,224563601;0,110845091;0,318176186;0,184147031;0,353261143;0,371670278;0,300171903
0,412468182;0,690472581;0,453533443;0,533291315;0,542832787;0,512809675;0,41293745;0,682208741;0,721898018;0,616709693;0,443974946;0,283411773;0,673478759;0,317423266;0,703510521;0,53966011;0,46480597
0,304563667;0,532389861;0,221853603;0,401292178;0,467606188;0,411221248;0,373955538;0,531241963;0,633465863;0,42086636;0,464561456;0,364077678;0,699961778;0,156601738;0,760804044;0,453995873;0,436040577
0,244896356;0,458584382;0,12974676;0,369524725;0,423287748;0,293331418;0,298305482;0,407164882;0,492391563;0,31671165;0,459182247;0,348125092;0,599961228;0,121088486;0,677072663;0,381036673;0,41724378
0,253723545;0,470458924;0,115027272;0,256245257;0,320344115;0,315351399;0,254363285;0,295619925;0,380787976;0,192329519;0,287765714;0,268439667;0,483232796;0,095404339;0,503494603;0,308988118;0,362301214
0,129785641;0,444572716;0,198237759;0,089094261;0,164046717;0,15366712;0,126373235;0,15097015;0,165502137;0,098144677;0,099735339;0,092126185;0,243423963;0,14794819;0,291500266;0,243894603;0,23857552
0,099808037;0,065052127;0,074675891;0,07612473;0,071004334;0,040623597;0,082531842;0,108387467;0,08974717;0,084911167;0,031936564;-0,028330287;0,141642631;0,132443816;0,200511666;0,162198187;0,14334647
0,121880177;-0,191945295;-0,131649617;0,088623862;0,023282632;-0,058436922;0,066298674;-0,029104329;-0,045569865;-0,063927401;-0,06119813;-0,086739113;0,047703783;0,070231419;0,197273482;0,126457125;0,141785895
0,261281309;-0,144150693;-0,09759377;0,04633494;0,004375226;0,002824526;0,165448331;-0,008155183;-0,021338603;-0,048708363;-0,047070608;-0,111308751;0,120374158;0,109984627;0,334704045;0,230295977;0,233407302
0,289907814;-0,149675571;-0,206155067;NaN;-0,011439007;-0,032058048;0,150431188;-0,033692552;0,004397063;-0,200204643;-0,118718174;-0,091007097;-0,006501003;0,12465257;0,297528389;0,238885814;0,203848491
0,211594318;-0,136900071;-0,165870581;0,021474512;-0,009391131;-0,050383053;0,080015774;-0,094197703;-0,000352514;-0,188945886;-0,10292857;-0,056531909;-0,000597447;0,088066663;0,226913577;0,102606573;0,169394343
0,169487505;-0,216557547;-0,156565087;NaN;0,064682257;-0,1224036;0,125783298;-0,126658741;-0,12205787;-0,159896896;-0,005764893;-0,044012594;-0,001554158;0,122467948;0,282237536;0,128751249;0,167356142
0,13442843;-0,250831267;-0,265917747;NaN;-0,072049952;-0,206917483;0,066685375;-0,263491197;-0,210553406;-0,233038779;-0,072001288;-0,129226831;-0,08991647;0,169917851;0,205838023;0,077937416;0,083099868
0,092500417;-0,464923323;-0,267226689;-0,194128685;-0,068812438;-0,239017515;0,007365831;-0,324590478;-0,327186002;-0,334578916;-0,123743966;-0,164520797;-0,133155991;0,150821286;0,104120363;0,001368299;0,050951118
0,177023649;-0,418105424;-0,177859368;-0,104048189;-0,041719813;-0,17439096;0,051404454;-0,279655961;-0,262525384;-0,28488394;-0,050382949;-0,135233683;-0,092514836;0,217866859;0,102253797;0,028057358;0,016454672
0,1158036;-0,465314865;-0,100282682;-0,106092368;-0,060137503;-0,194392229;0,006385356;-0,344741744;-0,305031353;-0,26001704;-0,110534758;-0,162488609;-0,194071232;0,19482696;0,036861768;-0,104127598;-0,056049548
0,154744196;-0,412011296;-0,200558319;-0,077827003;0,014402878;-0,269423448;0,028518481;-0,320254123;-0,311724753;-0,267023941;-0,085639163;-0,102623534;-0,143531307;0,129222692;0,108518311;-0,126694394;-0,020862902
0,224503892;-0,36656137;-0,312694586;-0,099579278;0,067346904;-0,235389556;0,047614056;-0,283871263;-0,312750941;-0,296294007;-0,009416896;-0,11228945;-0,110319744;0,094855801;0,138740961;-0,118099747;-0,010517821
0,365844887;-0,236049317;-0,173772513;0,090000833;0,312330846;-0,042030133;0,242631999;-0,123051105;-0,141075126;-0,167657127;0,150674975;0,12965361;0,159866005;0,228618976;0,387167229;0,047590903;0,156428923
0,384448722;-0,048361616;-0,059879251;0,15993307;0,327242386;0,027468476;0,270988057;-0,044582324;-0,152974921;-0,029477077;0,223057747;0,150378663;0,213537723;0,285374104;0,477913424;0,123892819;0,170331885
0,357233282;0,10837227;-0,083563448;0,382109441;0,487109034;0,099363566;0,301794379;0,152750459;-0,067460424;0,096296248;0,37403039;0,530431685;0,260981173;0,27043773;0,649257327;0,219716856;0,241767638
0,412679291;0,271532693;-0,185875504;0,520590767;0,499381579;0,096222348;0,292618633;0,183467073;-0,143393887;0,240823452;0,464124661;0,580131942;0,365435706;0,197560766;0,808847362;0,268134118;0,278281111
0,423131678;0,345788233;-0,080617744;0,600579852;0,512298912;0,094435936;0,308739176;0,275867282;-0,022082469;0,149507311;0,525030802;0,614664115;0,4284894;0,296273447;0,763241559;0,274793208;0,319629303
0,417964589;0,640952202;0,025248544;0,46881352;0,516324218;0,235507334;0,290007505;0,36172819;0,204058128;0,208298761;0,549495253;0,649048985;0,586877959;0,320087402;0,707576307;0,293861678;0,380383113
0,428426499;0,827975536;0,151505022;0,917580487;0,654797122;0,387778661;0,343471492;0,541100277;0,216337366;0,381438215;0,665873051;0,687359874;0,733923604;0,334528424;0,851649704;0,425063361;0,493428029
0,461574619;1,035944124;0,268039798;1,200889884;0,548407522;0,395146964;0,410468655;0,692555569;0,247702379;0,503490977;0,745090895;0,605644013;0,821765742;0,308264602;0,905560683;0,548281712;0,535879454
0,42671643;1,305184519;0,331542124;1,261691735;0,632732713;0,45163291;0,388030364;0,689641684;0,239860884;0,604337453;0,76367547;0,761506731;0,799207918;0,323480333;0,999147092;0,655021744;0,591640301
0,436243941;1,338341428;0,287689037;1,235026852;0,575691532;0,597731949;0,373885444;0,978237586;0,497449881;0,668484772;0,88453553;0,703076931;0,926371995;0,345048823;1,051267652;0,815507186;0,661087039
0,444820694;1,390683484;0,474395392;1,400097708;0,635517572;0,702478678;0,451010974;1,019640859;0,544827299;0,732073459;1,042855286;0,954534298;1,063877494;0,375393873;1,047972784;0,8182568;0,772422796
0,400256412;1,134555729;0,546895128;1,242875599;0,485288885;0,75722494;0,406989702;0,947135363;0,584043382;0,766764218;0,919499788;1,00926955;1,019179838;0,426379567;1,045311252;0,767629254;0,68533942
0,335486305;0,742660861;0,493008962;0,782959125;0,305254825;0,627079039;0,272154183;0,4773834;0,563638663;0,532237067;0,696692576;0,643514139;0,609303335;0,285203008;0,6801384;0,549816627;0,46813596
0,382363961;0,595128641;0,39177882;0,607731056;0,371159092;0,62344366;0,29183735;0,53478647;0,599555793;0,556858138;0,747793663;0,762080158;0,747201736;0,316964946;0,618389669;0,479109981;0,482653634
0,293641977;0,197321902;0,31017605;0,378209332;0,189722891;0,394314055;0,210674774;0,223141047;0,437213844;0,360262558;0,479953604;0,529587049;0,49912105;0,314075331;0,414660363;0,222615631;0,226883163
0,248197627;0,24195732;0,368042445;0,283878251;0,209389061;0,384444016;0,170145672;0,230495003;0,54773869;0,385045946;0,359656989;0,427730201;0,451988367;0,294154874;0,320792857;0,192311004;0,20668715
0,237361718;0,168947974;0,334113051;0,168787497;0,235639441;0,37505217;0,152862971;0,162278093;0,458198559;0,519760303;0,311000087;0,387546985;0,441583927;0,204697496;0,275023165;0,214397407;0,183473985
0,267283045;0,021245835;0,382696118;0,109770788;0,068950414;0,191613693;0,152395631;0,089401913;0,335729378;0,401726434;0,154237571;0,297301567;0,280919425;0,189123598;0,216704634;0,205295285;0,113938992
0,202782944;0,084863217;0,451125578;-0,015537108;-0,038561956;0,071780348;0,110933384;-0,002083119;0,166198754;0,219551918;0,069833471;0,182406912;0,133036272;0,123089884;0,085055451;0,110504664;0,055219542
0,147972969;0,114437778;0,395130093;-0,117849169;0,016664778;0,132987238;0,062548819;0,042158751;0,241593768;0,249274419;0,098337847;0,166004545;0,068120723;0,131310559;-0,015491951;0,071512318;0,031419478
0,106903843;-0,049683142;0,33181099;-0,225529893;-0,040339155;0,049587427;0,019437527;-0,027420663;0,152332176;0,128525054;0,030978479;0,035266241;0,027562829;0,09590028;-0,082242519;-0,015701724;-0,040381301
